Notes,Census Region,Census Region Code,Births
,Census Region 1: Northeast,CENS-R1,8271491
,Census Region 2: Midwest,CENS-R2,10884882
,Census Region 3: South,CENS-R3,19942214
,Census Region 4: West,CENS-R4,12632129
Total,,,51730716
---,,,
"Dataset: Natality, 2007-2019",,,
Query Parameters:,,,
Age of Mother 9: Under 15 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years,,,
Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,,,
Group By: Census Region,,,
Show Totals: True,,,
Show Zero Values: True,,,
Show Suppressed: True,,,
"Calculate Rates Per: 1,000",,,
Population Option: No populations shown because rates were not selected.,,,
---,,,
Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information.,,,
---,,,
"Query Date: Sep 3, 2021 2:37:20 AM",,,
---,,,
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention",,,
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2019, on CDC",,,
"WONDER Online Database, October 2020. Accessed at http://wonder.cdc.gov/natality-current.html on Sep 3, 2021 2:37:20 AM",,,
---,,,
Caveats:,,,
1. Each birth record represents one liveborn infant.,,,
